k_frac,dollar_accept_rate,cv_mean_sortino,cv_std_sortino
0.05,0.06063158395465902,0.5938374595470679,0.3929720265331412
0.1,0.11673973459347904,1.6680095727859179,1.6174019695850634
0.15,0.16978183121665155,1.6536612347098978,0.6218335471041694
0.2,0.2211007099782348,2.3244954240801827,1.2123604806405666
0.25,0.2709171707393042,2.795769930548754,1.3794801666045864
0.3,0.31993691036008826,2.147070493208667,1.0193406255364783
0.35,0.36844475495119555,2.1656976137933586,1.0442561990001156
0.4,0.4164577876131591,2.859989402231162,1.9200931221505642
0.45,0.46417259605001454,3.2806867190719053,2.5560283466842577
0.5,0.5120616349424065,2.904939620944153,1.0518102058087013
0.55,0.5590874402076867,2.7420018079923567,1.129630094350669
0.6,0.6064161122878028,2.750569559680062,1.0338743750063015
0.65,0.6533792661886112,2.485192918075853,0.8268102220136956
0.7,0.7006935791257118,1.7213703824177373,0.710460863598073
0.75,0.7479999641420306,1.8018152266625627,0.8281864984062748
0.8,0.795292902952276,1.7578741243902158,0.7901675198935422
0.85,0.8426866360060888,1.4932957732083216,0.5190800358294604
0.9,0.8913815993377334,1.2286767337940732,0.4259473198197048
0.95,0.9419791060823979,1.085625130171833,0.37910577388538824
1.0,1.0,1.0664797979391127,0.2616223484964496
